Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
1,1.123779,-0.239624,-0.230347,0.364555,-0.756641,0.184651,0,0,0
2,1.047729,-0.178955,-0.159180,0.279112,-0.682591,0.307118,0,0,0
3,1.257690,-0.300293,-0.162964,0.308068,-0.821909,0.492481,0,0,0
4,1.274536,-0.258179,-0.181152,0.367640,-0.622544,0.574838,0,0,0
5,1.327026,-0.280273,-0.207397,0.451896,-0.493905,0.673809,0,0,0
6,1.390747,-0.281006,-0.218262,0.515740,-0.381881,0.734568,0,0,0
7,1.517578,-0.318237,-0.234253,0.600471,-0.526421,0.714632,0,0,0
8,1.512329,-0.259521,-0.296021,0.694220,-0.379982,0.624917,0,0,0
9,1.570679,-0.244019,-0.311523,0.717954,-0.386390,0.500313,0,0,0
10,1.666504,-0.230957,-0.285645,0.743350,-0.376422,0.270093,0,0,0
11,1.649414,-0.225098,-0.281128,0.793429,-0.462102,-0.058623,0,0,0
12,1.635742,-0.265991,-0.324097,0.849916,-0.612101,-0.330615,0,0,0
13,1.624390,-0.308716,-0.344360,0.875548,-0.713920,-0.526658,0,0,0
14,1.610718,-0.282837,-0.391479,0.863444,-0.798887,-0.668588,0,0,0
15,1.603027,-0.306641,-0.433350,0.811466,-0.895010,-0.776340,0,0,0
16,1.588379,-0.317627,-0.466431,0.717954,-1.072066,-0.886941,0,0,0
17,1.594971,-0.303101,-0.473999,0.596911,-1.216132,-1.003237,0,0,0
18,1.606934,-0.281616,-0.531250,0.476817,-1.242476,-1.134249,0,0,0
19,1.619385,-0.267090,-0.624268,0.298811,-1.177920,-1.289232,0,0,0
20,1.645752,-0.260376,-0.705933,0.012342,-0.972858,-1.481003,0,0,0
21,1.681152,-0.243286,-0.797729,-0.357909,-0.639869,-1.711223,0,0,0
22,1.700806,-0.210693,-0.869751,-0.777289,-0.371912,-1.979181,0,0,0
23,1.672852,-0.216309,-0.885742,-1.222302,-0.133860,-2.319052,0,0,0
24,1.558105,-0.230103,-0.854370,-1.664467,0.166376,-2.714223,0,0,0
25,1.381226,-0.265869,-0.789185,-2.078864,0.547307,-3.086848,0,0,0
26,1.146851,-0.308594,-0.720215,-2.405918,0.932035,-3.389219,0,0,0
27,0.923706,-0.357178,-0.664429,-2.616202,1.137809,-3.542066,0,0,0
28,0.747070,-0.382202,-0.634766,-2.779492,1.346194,-3.530199,0,0,0
29,0.641113,-0.363892,-0.600708,-2.913352,1.397460,-3.390169,0,0,0
30,0.581543,-0.339722,-0.547607,-3.042940,1.414548,-3.233761,0,0,0
31,0.519653,-0.329224,-0.435547,-3.129569,1.452048,-3.107022,0,0,0
32,0.454712,-0.319092,-0.324097,-3.110819,1.477918,-3.000219,0,0,0
33,0.377930,-0.292603,-0.226318,-3.014696,1.586383,-2.878700,0,0,0
34,0.279297,-0.253418,-0.141724,-2.905994,1.769372,-2.749350,0,0,0
35,0.154175,-0.196533,-0.075806,-2.787799,1.961143,-2.648005,0,0,0
36,0.039429,-0.177979,-0.016846,-2.660347,2.101886,-2.553782,0,0,0
37,-0.058594,-0.176392,0.052490,-2.507263,2.083136,-2.431077,0,0,0
38,-0.150024,-0.158936,0.122803,-2.285587,1.889941,-2.263989,0,0,0
39,-0.242310,-0.156860,0.178223,-2.011934,1.592316,-2.002203,0,0,0
40,-0.318726,-0.096436,0.220215,-1.710749,1.242714,-1.640259,0,0,0
41,-0.369141,-0.048218,0.231323,-1.433773,0.978317,-1.231559,0,0,0
42,-0.413818,-0.019531,0.256592,-1.188838,0.771119,-0.819536,0,0,0
43,-0.435913,-0.013794,0.277344,-0.941529,0.580060,-0.369539,0,0,0
44,-0.419678,-0.014526,0.298828,-0.682116,0.367640,0.135996,0,0,0
45,-0.354980,-0.012939,0.296753,-0.401342,0.098734,0.669300,0,0,0
46,-0.263794,-0.016235,0.282959,-0.108702,-0.188448,1.194771,0,0,0
47,-0.147949,-0.024292,0.275269,0.159493,-0.380456,1.711936,0,0,0
48,-0.031372,-0.037109,0.280029,0.450472,-0.514079,2.188515,0,0,0
49,0.074219,-0.064209,0.234253,0.810754,-0.672622,2.615015,0,0,0
50,0.198975,-0.099121,0.177612,1.176258,-0.865343,3.016358,0,0,0
51,0.321411,-0.152466,0.098389,1.523250,-1.095800,3.378302,0,0,0
52,0.458008,-0.204834,0.001099,1.837251,-1.373963,3.706781,0,0,0
53,0.578369,-0.258179,-0.084839,2.083848,-1.677046,3.978773,0,0,0
54,0.699951,-0.291748,-0.193115,2.252359,-2.005288,4.207569,0,0,0
55,0.877197,-0.270142,-0.315552,2.287960,-2.302201,4.419276,0,0,0
56,1.028809,-0.300659,-0.410889,2.165255,-2.488276,4.545066,0,0,0
57,1.164063,-0.360474,-0.486084,1.958057,-2.540016,4.614132,0,0,0
58,1.328857,-0.382568,-0.524536,1.692236,-2.538829,4.714290,0,0,0
59,1.552002,-0.358887,-0.566528,1.454659,-2.616914,4.743720,0,0,0
60,1.717163,-0.337769,-0.672363,1.252207,-2.744840,4.599417,0,0,0
61,1.863159,-0.300903,-0.716309,0.979503,-2.694999,4.340716,0,0,0
62,1.983032,-0.294189,-0.745117,0.669300,-2.396899,3.969516,0,0,0
63,2.088379,-0.301025,-0.816895,0.328716,-1.959244,3.533997,0,0,0
64,2.121338,-0.354370,-0.840820,-0.041060,-1.542000,3.066437,0,0,0
65,2.088379,-0.443726,-0.861938,-0.373811,-1.260752,2.590569,0,0,0
66,2.031494,-0.534912,-0.890381,-0.638920,-1.218030,2.224591,0,0,0
67,2.052490,-0.589600,-0.900269,-0.842321,-1.223252,1.982978,0,0,0
68,2.139893,-0.610229,-0.898193,-0.989472,-1.246511,1.771033,0,0,0
69,2.232544,-0.596802,-0.917114,-1.085594,-1.268584,1.513044,0,0,0
70,2.314209,-0.566406,-0.932129,-1.182904,-1.266210,1.170562,0,0,0
71,2.369751,-0.550049,-0.974731,-1.305372,-1.186464,0.751894,0,0,0
72,2.390381,-0.540771,-1.008423,-1.503313,-0.912573,0.322071,0,0,0
73,2.366943,-0.529053,-0.958618,-1.828470,-0.381881,-0.094936,0,0,0
74,2.314819,-0.519287,-0.893311,-2.169290,0.162103,-0.535202,0,0,0
75,2.198486,-0.525391,-0.810425,-2.460744,0.593588,-1.005136,0,0,0
76,2.062866,-0.534424,-0.714478,-2.690727,0.813603,-1.467000,0,0,0
77,1.927246,-0.532593,-0.625610,-2.860425,0.936307,-1.874751,0,0,0
78,1.803589,-0.534058,-0.538696,-2.999269,1.077288,-2.200382,0,0,0
79,1.710693,-0.522949,-0.456787,-3.099190,1.143268,-2.482105,0,0,0
80,1.649170,-0.484131,-0.395752,-3.129806,1.035753,-2.745790,0,0,0
81,1.584717,-0.452515,-0.318848,-3.139063,1.005136,-3.032971,0,0,0
82,1.512573,-0.435303,-0.246338,-3.123161,0.997067,-3.329647,0,0,0
83,1.417725,-0.419312,-0.194580,-3.071183,1.098173,-3.590484,0,0,0
84,1.317261,-0.393555,-0.159058,-2.982181,1.286384,-3.797207,0,0,0
85,1.196899,-0.381592,-0.142456,-2.859476,1.527285,-3.968567,0,0,0
86,1.046997,-0.359985,-0.131836,-2.714936,1.752046,-4.099579,0,0,0
87,0.889160,-0.330322,-0.104736,-2.563750,1.864545,-4.205195,0,0,0
88,0.689575,-0.330688,-0.101440,-2.389542,1.817315,-4.279483,0,0,0
89,0.566528,-0.238159,-0.070557,-2.202281,1.710986,-4.237473,0,0,0
90,0.430664,-0.214478,-0.076904,-2.042076,1.506399,-4.197600,0,0,0
91,0.300659,-0.170044,-0.073120,-1.922694,1.227761,-4.067538,0,0,0
92,0.181763,-0.093384,-0.068481,-1.870241,1.174122,-3.811685,0,0,0
93,0.091309,-0.038330,-0.066895,-1.868580,1.334327,-3.526402,0,0,0
94,0.019409,-0.004761,-0.047607,-1.863359,1.473171,-3.234236,0,0,0
95,-0.051392,0.039185,-0.026001,-1.834640,1.466763,-2.941833,0,0,0
96,-0.115356,0.089722,0.003662,-1.781713,1.401494,-2.632578,0,0,0
97,-0.166504,0.141602,0.032593,-1.670638,1.248885,-2.306473,0,0,0
98,-0.197021,0.184692,0.066040,-1.543899,1.054740,-1.967551,0,0,0
99,-0.210571,0.220581,0.092163,-1.423330,0.867004,-1.631002,0,0,0
100,-0.202148,0.246826,0.129395,-1.312254,0.732669,-1.298251,0,0,0
101,-0.192993,0.276978,0.127930,-1.188363,0.650312,-0.976418,0,0,0
102,-0.168335,0.291138,0.100586,-1.078474,0.556088,-0.676894,0,0,0
103,-0.143433,0.291382,0.092651,-1.007509,0.445962,-0.416770,0,0,0
104,-0.135010,0.288086,0.099854,-0.962652,0.336311,-0.179904,0,0,0
105,-0.139771,0.267700,0.102661,-0.923491,0.286232,0.070727,0,0,0
106,-0.141357,0.246216,0.092773,-0.882194,0.247309,0.354824,0,0,0
107,-0.123047,0.235352,0.067627,-0.845169,0.136945,0.661942,0,0,0
108,-0.108643,0.211792,0.066284,-0.819299,-0.042484,0.979978,0,0,0
109,-0.092041,0.182251,0.075684,-0.796514,-0.233543,1.314865,0,0,0
110,-0.025513,0.154541,0.119141,-0.757115,-0.403004,1.704103,0,0,0
111,0.077881,0.125366,0.167847,-0.678793,-0.539000,2.131078,0,0,0
112,0.202026,0.100220,0.197266,-0.539000,-0.624680,2.537642,0,0,0
113,0.330444,0.082642,0.206543,-0.344381,-0.677132,2.880836,0,0,0
114,0.433716,0.068726,0.167358,-0.121993,-0.720565,3.129806,0,0,0
115,0.531372,0.064209,0.105957,0.070490,-0.728397,3.308524,0,0,0
116,0.631836,0.073242,0.047363,0.170648,-0.669774,3.443808,0,0,0
117,0.699585,0.060059,-0.016602,0.171360,-0.546595,3.522604,0,0,0
118,0.810913,0.015503,-0.034668,0.117246,-0.414396,3.595943,0,0,0
119,0.971069,-0.012329,-0.013794,0.061234,-0.402292,3.688743,0,0,0
120,1.104736,-0.016724,-0.022827,0.055538,-0.478478,3.698948,0,0,0
121,1.218750,-0.017090,-0.046021,0.051503,-0.544696,3.607098,0,0,0
122,1.287964,0.006714,-0.079590,0.001899,-0.543509,3.439773,0,0,0
123,1.333862,-0.054199,-0.083618,-0.078322,-0.525709,3.194363,0,0,0
124,1.350342,-0.134766,-0.028198,-0.092800,-0.718429,3.004016,0,0,0
125,1.451172,-0.135742,-0.016846,-0.009256,-0.912336,2.924032,0,0,0
126,1.558594,-0.153931,-0.029785,0.113449,-0.965500,2.835030,0,0,0
127,1.649658,-0.138306,-0.036865,0.206961,-0.963602,2.703068,0,0,0
128,1.687134,-0.121704,-0.080566,0.273416,-0.790343,2.505364,0,0,0
129,1.659668,-0.154419,-0.149902,0.286707,-0.442402,2.273008,0,0,0
130,1.660400,-0.178101,-0.195679,0.235916,-0.234255,2.064386,0,0,0
131,1.679199,-0.200928,-0.167480,0.155933,-0.282672,1.869292,0,0,0
132,1.718628,-0.199463,-0.135132,0.109889,-0.346042,1.690100,0,0,0
133,1.744995,-0.187012,-0.109863,0.094461,-0.332276,1.498567,0,0,0
134,1.734863,-0.179565,-0.115601,0.096597,-0.252530,1.271432,0,0,0
135,1.674438,-0.194580,-0.141479,0.089715,-0.145964,1.037414,0,0,0
136,1.609131,-0.218628,-0.142212,0.052690,-0.050079,0.840185,0,0,0
137,1.575439,-0.227173,-0.122314,0.017326,0.001899,0.703714,0,0,0
138,1.567505,-0.239502,-0.102539,0.009731,0.002611,0.600234,0,0,0
139,1.557495,-0.241455,-0.086792,0.031092,-0.011155,0.498415,0,0,0
140,1.536621,-0.242310,-0.086304,0.050553,0.017089,0.403004,0,0,0
141,1.486938,-0.245239,-0.101685,0.060759,0.076424,0.302609,0,0,0
142,1.432129,-0.245117,-0.100342,0.048180,0.147151,0.210521,0,0,0
143,1.371704,-0.251221,-0.093384,0.021123,0.193670,0.126028,0,0,0
144,1.307373,-0.258423,-0.094849,0.005696,0.191296,0.047943,0,0,0
145,1.248901,-0.271362,-0.094604,-0.012816,0.165426,-0.008307,0,0,0
146,1.212891,-0.271118,-0.081055,-0.042009,0.152372,-0.028956,0,0,0
147,1.178711,-0.273315,-0.057495,-0.066455,0.148100,-0.053402,0,0,0
148,1.123413,-0.280884,-0.053589,-0.074762,0.141217,-0.081882,0,0,0
149,1.088135,-0.290894,-0.053467,-0.088053,0.125790,-0.087579,0,0,0
150,1.065308,-0.288452,-0.027832,-0.104904,0.090189,-0.070965,0,0,0